"Accepted Symbol","Synonym Symbol","Scientific Name","Common Name","Category","Duration","Growth Habit","Native Status","State Noxious Status","State Noxious Common Name","Characteristics Data","Active Growth Period","After Harvest Regrowth Rate","Bloat","C:N Ratio","Coppice Potential","Fall Conspicuous","Fire Resistance","Flower Color","Flower Conspicuous","Foliage Color","Foliage Porosity Summer","Foliage Porosity Winter","Foliage Texture","Fruit Color","Fruit Conspicuous","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Known Allelopath","Leaf Retention","Lifespan","Low Growing Grass","Nitrogen Fixation","Resprout Ability","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Anaerobic Tolerance","CaCO<SUB>3</SUB> Tolerance","Cold Stratification Required","Drought Tolerance","Fertility Requirement","Fire Tolerance","Frost Free Days, Minimum","Hedge Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Planting Density per Acre, Minimum","Planting Density per Acre, Maximum","Precipitation (Minimum)","Precipitation (Maximum)","Root Depth, Minimum (inches)","Salinity Tolerance","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Fruit/Seed Abundance","Fruit/Seed Period Begin","Fruit/Seed Period End","Fruit/Seed Persistence","Propogated by Bare Root","Propogated by Bulbs","Propogated by Container","Propogated by Corms","Propogated by Cuttings","Propogated by Seed","Propogated by Sod","Propogated by Sprigs","Propogated by Tubers","Seeds per Pound","Seed Spread Rate","Seedling Vigor","Small Grain","Vegetative Spread Rate","Berry/Nut/Seed Product","Christmas Tree Product","Fodder Product","Fuelwood Product","Lumber Product","Naval Store Product","Nursery Stock Product","Palatable Browse Animal","Palatable Graze Animal","Palatable Human","Post Product","Protein Potential","Pulpwood Product","Veneer Product"
"MICL3","","Mimulus clivicola","North Idaho monkeyflower","Dicot","Annual","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MICO","","Mimulus coccineus","red monkeyflower","Dicot","Annual","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MICU2","","Mimulus cusickii","Cusick's monkeyflower","Dicot","Annual","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIDE3","","Mimulus dentatus","coastal monkeyflower","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Yellow","Yes","Green","Porous","Porous","Medium","Brown","No","Rhizomatous","Moderate","","1.5","No","No","Short","No","None","No","Erect","None","Yes","Yes","Yes","Low","Medium","No","Low","Medium","Low","150","None","Medium","6.0","8.0","2700","4800","36","100","12","None","Tolerant","2","Mid Spring","Contracting Only","Medium","Spring","Summer","No","No","No","No","No","No","Yes","No","Yes","No","4000000","Slow","Medium","No","Moderate","No","No","No","","No","No","No","","","No","No","","No","No"
"MIFL2","","Mimulus floribundus","manyflowered monkeyflower","Dicot","Annual","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIGU","","Mimulus guttatus","seep monkeyflower","Dicot","Annual, Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Yellow","Yes","Green","Porous","Porous","Coarse","Brown","No","Rhizomatous","Rapid","","2.5","No","No","Short","No","None","No","Semi-Erect","None","Yes","Yes","Yes","Medium","Medium","No","None","High","Medium","110","None","High","6.0","8.0","2700","4800","10","24","12","None","Tolerant","-38","Mid Spring","Routinely Available","Medium","Summer","Summer","No","No","No","No","No","No","Yes","No","Yes","No","4000000","Slow","Medium","No","Moderate","No","No","No","","No","No","No","Low","Low","No","No","Low","No","No"
"MIJU","","Mimulus jungermannioides","liverwort monkeyflower","Dicot","Perennial","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MILE2","","Mimulus lewisii","purple monkeyflower","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIMO3","","Mimulus moschatus","muskflower","Dicot","Perennial","Forb/herb","L48(N)CAN(N)SPM(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIMOL","","Mimulus moschatus var. longiflorus","muskflower","Dicot","Perennial","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIMOM2","","Mimulus moschatus var. moschatus","muskflower","Dicot","Perennial","Forb/herb","L48(N)CAN(N)SPM(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIMOS2","","Mimulus moschatus var. sessilifolius","muskflower","Dicot","Perennial","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MINA","","Mimulus nanus","dwarf purple monkeyflower","Dicot","Annual","Forb/herb","L48(N)","","","Yes","Spring and Summer","","None","Low","No","No","No","Red","Yes","Green","Porous","Porous","Medium","Red","No","Multiple Stem","Rapid","","0.5","No","No","","No","None","No","Erect","None","No","Yes","Yes","None","Medium","No","Medium","Low","None","120","None","Low","6.5","7.5","2700","4800","10","40","12","None","Intolerant","32","Late Spring","No Known Source","Medium","Summer","Fall","No","No","No","Yes","No","No","Yes","No","No","No","20000000","Rapid","Medium","No","None","No","No","No","","No","No","Yes","High","High","No","No","High","No","No"
"MINAN2","","Mimulus nanus var. nanus","dwarf purple monkeyflower","Dicot","Annual","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIPR","","Mimulus primuloides","primrose monkeyflower","Dicot","Perennial","Forb/herb","L48(N)","","","Yes","Spring and Summer","Moderate","None","Medium","No","No","No","Red","Yes","Green","Porous","Porous","Medium","Brown","No","Stoloniferous","Moderate","","1.5","No","No","Short","No","None","No","Decumbent","None","No","Yes","Yes","Medium","Low","No","Low","Medium","Medium","100","None","High","6.0","7.2","","","24","60","8","None","Tolerant","-33","Spring","Routinely Available","Low","Summer","Summer","No","No","No","No","No","No","Yes","No","No","No","4000000","Slow","Low","No","Moderate","No","No","No","","No","No","No","Low","Low","No","No","Low","No","No"
"MIPRP2","","Mimulus primuloides var. primuloides","primrose monkeyflower","Dicot","Perennial","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIPU2","","Mimulus pulsiferae","candelabrum monkeyflower","Dicot","Annual","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIRI","","Mimulus ringens","Allegheny monkeyflower","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIRIR","","Mimulus ringens var. ringens","Allegheny monkeyflower","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MISU2","","Mimulus suksdorfii","Suksdorf's monkeyflower","Dicot","Annual","Forb/herb","L48(N)","","","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Yellow","Yes","Gray-Green","Porous","Porous","Coarse","Yellow","No","Multiple Stem","Moderate","","0.6","No","No","","No","None","No","Decumbent","None","Yes","Yes","No","Medium","Low","No","Low","Low","Medium","145","None","Medium","6.5","8.0","","","8","16","12","Low","Tolerant","52","Mid Spring","No Known Source","Low","Spring","Summer","No","No","No","No","No","No","Yes","No","No","No","4000000","Slow","Medium","No","Slow","No","No","No","","No","No","Yes","","","No","No","","No","No"
"MITI","","Mimulus tilingii","Tiling's monkeyflower","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MITIC","","Mimulus tilingii var. caespitosus","subalpine monkeyflower","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MITIT","","Mimulus tilingii var. tilingii","Tiling's monkeyflower","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIWA2","","Mimulus washingtonensis","Washington monkeyflower","Dicot","Annual","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MINUA","","Minuartia","stitchwort","Dicot","","","L48(N)CAN(N)GL(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIEL2","","Minuartia elegans","elegant stitchwort","Dicot","Annual","Forb/herb","L48(N)AK(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIMI2","","Minuartia michauxii","Michaux's stitchwort","Dicot","Annual, Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIMIM","","Minuartia michauxii var. michauxii","Michaux's stitchwort","Dicot","Annual, Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MINU4","","Minuartia nuttallii","Nuttall's sandwort","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MINUF","","Minuartia nuttallii ssp. fragilis","brittle sandwort","Dicot","Perennial","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MINUN2","","Minuartia nuttallii ssp. nuttallii","Nuttall's sandwort","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIOB2","","Minuartia obtusiloba","twinflower sandwort","Dicot","Perennial","Subshrub, Forb/herb","L48(N)AK(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIPU7","","Minuartia pusilla","annual sandwort","Dicot","Annual","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIPUP","","Minuartia pusilla var. pusilla","annual sandwort","Dicot","Annual","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIRU3","","Minuartia rubella","beautiful sandwort","Dicot","Annual, Perennial","Forb/herb","L48(N)AK(N)CAN(N)GL(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MITE2","","Minuartia tenella","slender stitchwort","Dicot","Annual, Perennial","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIRAB","","Mirabilis","four o'clock","Dicot","","","L48(I,N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIJA","","Mirabilis jalapa","marvel of Peru","Dicot","Perennial","Forb/herb, Subshrub","L48(I)HI(I)PR(I)VI(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MINY","","Mirabilis nyctaginea","heartleaf four o'clock","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","WA(CAW)","WA (wild four o'clock)","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MISOP","","Misopates","misopates","Dicot","","","L48(I)CAN(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIOR","","Misopates orontium","linearleaf snapdragon","Dicot","Annual","Forb/herb","L48(I)AK(I)HI(I)CAN(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MITEL","","Mitella","miterwort","Dicot","","","L48(N)CAN(N)SPM(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIBR6","","Mitella breweri","Brewer's miterwort","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MICA5","","Mitella caulescens","slightstemmed miterwort","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIDI4","","Mitella diversifolia","angleleaf miterwort","Dicot","Perennial","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MINU3","","Mitella nuda","naked miterwort","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)SPM(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIOV","","Mitella ovalis","coastal miterwort","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIPE","","Mitella pentandra","fivestamen miterwort","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MIST3","","Mitella stauropetala","smallflower miterwort","Dicot","Perennial","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MISTS2","","Mitella stauropetala var. stauropetala","smallflower miterwort","Dicot","Perennial","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MITR4","","Mitella trifida","threeparted miterwort","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MITRT","","Mitella trifida var. trifida","threeparted miterwort","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MITRV","","Mitella trifida var. violacea","threeparted miterwort","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MOEHR","","Moehringia","sandwort","Dicot","","","L48(I,N)CAN(N)SPM(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MOLA6","","Moehringia lateriflora","bluntleaf sandwort","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)SPM(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MOMA3","","Moehringia macrophylla","largeleaf sandwort","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MOENC","","Moenchia","upright chickweed","Dicot","","","L48(I)CAN(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MOER","","Moenchia erecta","upright chickweed","Dicot","Annual","Forb/herb","L48(I)CAN(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MOLLU","","Mollugo","carpetweed","Dicot","","","L48(I,N)CAN(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MOVE","","Mollugo verticillata","green carpetweed","Dicot","Annual","Forb/herb","L48(N)PR(N)VI(N)CAN(I)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MONAR","","Monarda","beebalm","Dicot","","","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODI","","Monarda didyma","scarlet beebalm","Dicot","Perennial","Forb/herb","L48(N)CAN(N)","","","Yes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MOFI","","Monarda fistulosa","wild bergamot","Dicot","Perennial","Subshrub, Forb/herb","L48(N)CAN(N)","","","Yes","Spring","Slow","None","","No","No","No","Red","Yes","Gray-Green","Moderate","Porous","Medium","Brown","No","Single Stem","Moderate","","4.9","No","No","Moderate","No","None","No","Erect","None","No","Yes","Yes","High","Medium","No","None","Medium","None","150","None","High","6.0","8.0","2728","10912","20","60","4","None","Intermediate","-32","Summer","Routinely Available","Medium","Summer","Fall","No","No","No","Yes","No","No","Yes","No","No","No","1272500","Slow","Medium","No","Slow","No","No","No","","No","No","No","Medium","Medium","No","No","","No","No"
"MOFIF","","Monarda fistulosa ssp. fistulosa","wild bergamot","Dicot","Perennial","Subshrub, Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MOFIM2","","Monarda fistulosa ssp. fistulosa var. menthifolia","mintleaf bergamot","Dicot","Perennial","Subshrub, Forb/herb","L48(N)CAN(N)","","","Yes","Spring and Summer","Slow","None","Medium","No","No","No","Purple","Yes","Green","Porous","Porous","Coarse","Brown","No","Rhizomatous","Moderate","","3.0","No","No","Moderate","No","None","No","Erect","None","Yes","Yes","Yes","Low","Medium","No","Low","Medium","High","110","None","Medium","6.5","8.5","2700","4800","12","24","16","None","Intermediate","-38","Late Spring","Contracting Only","Medium","Summer","Fall","Yes","No","No","Yes","No","No","Yes","No","Yes","No","1272500","Slow","Medium","No","Moderate","No","No","No","","No","No","Yes","Medium","Low","No","No","Low","No","No"
"MONAR2","","Monardella","monardella","Dicot","","","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MOOD","","Monardella odoratissima","mountain monardella","Dicot","Perennial","Subshrub, Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MOODD","","Monardella odoratissima ssp. discolor","mountain monardella","Dicot","Perennial","Subshrub, Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MOODO","","Monardella odoratissima ssp. odoratissima","mountain monardella","Dicot","Perennial","Forb/herb, Subshrub","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MONES","","Moneses","single delight","Dicot","","","L48(N)CAN(N)SPM(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MOUN2","","Moneses uniflora","single delight","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)SPM(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MONOL","","Monolepis","povertyweed","Dicot","","","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MONU","","Monolepis nuttalliana","Nuttall's povertyweed","Dicot","Annual","Forb/herb","L48(N)AK(N)CAN(N)","","","Yes","Spring and Summer","Slow","None","High","No","No","No","Green","No","Dark Green","Porous","Porous","Coarse","Brown","No","Single Crown","Rapid","","0.8","No","No","","No","None","No","Decumbent","None","No","Yes","Yes","Medium","High","No","Medium","Low","Low","140","None","Medium","6.5","9.0","","","8","24","6","High","Intolerant","47","Mid Spring","No Known Source","Medium","Summer","Summer","No","No","No","No","No","No","Yes","No","No","No","1375000","Moderate","Medium","No","None","No","No","No","","No","No","No","","","No","No","Low","No","No"
"MOPU3","","Monolepis pusilla","small povertyweed","Dicot","Annual","Forb/herb","L48(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MONOT","","Monotropa","Indianpipe","Dicot","","","L48(N)CAN(N)SPM(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MOHY3","","Monotropa hypopitys","pinesap","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)SPM(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MOUN3","","Monotropa uniflora","Indianpipe","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)SPM(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MONTI","","Montia","minerslettuce","Dicot","","","L48(N)CAN(N)GL(N)SPM(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MOCH","","Montia chamissoi","water minerslettuce","Dicot","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODI2","","Montia dichotoma","dwarf minerslettuce","Dicot","Annual","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MODI3","","Montia diffusa","spreading minerslettuce","Dicot","Annual","Forb/herb","L48(N)CAN(N)","","","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
